"Title","Type","Enjoyment","Objective","Date","Chapter/Episode","Notes"
"No Game No Life","Light Novel","8.5","9.0","01/01/20","V6",""
"Villainess, I’ll Pamper You","Web Novel","8.5","7.5","01/01/20","Completed",""
"Grabbing Your Hand, Dragging You Away","Web Novel","8.5","7.0","01/01/20","Completed","Josei"
"Assassination Classroom","Anime","8.5","9.0","01/01/18","Completed",""
"Hunter x Hunter","Anime","8.5","9.5","01/01/17","Completed",""
"Dororo","Anime","8.5","9.0","01/01/17","Completed",""
"Angel Beats","Anime","8.5","9.0","01/01/17","Completed","Nostalgia"
"Monogatari Series","Anime","8.5","9.0","01/01/17","Completed",""
"Josee, the Tiger and the Fish","Anime","8.5","9.0","01/01/17","Completed",""
"Demon Slayer","Anime","8.5","9.0","01/01/17","Completed",""
"Charlotte","Anime","8.5","8.0","01/01/17","Completed",""
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri ","Anime","8.5","8.0","01/01/17","Completed",""
"Zankyou no Terror","Anime","8.5","8.0","01/01/17","Completed",""
"Kaze no Stigma","Anime","8.5","7.5","01/01/17","Completed",""
"The Fruit of Grisaia","Anime","8.5","7.0","01/01/17","Completed",""
"Date a Live","Anime","8.5","6.5","01/01/17","Completed",""
"Apotheosis of a Demon – A Monster Evolution Story","Web Novel","8","8.0","01/01/23","Completed",""
"To Be Hero X","Anime","8","9.0","14/09/25","Completed",""
"师尊：这个冲师逆徒才不是圣子","Web Novel","8","6.5","11/08/25","V2C29","Wish fullfillment"
"A Sweet Girl Won't Be Fooled By The Villainess","Web Novel","8","8.0","01/01/25","V4C76",""
"公主病","Webnovel","8","8.0","01/01/25","Completed",""
"你我相爱，为民除害","Webnovel","8","8.0","01/01/24","Completed",""
"短命白月光只想咸鱼","Webnovel","8","8.0","01/01/23","Completed",""
"I Favor the Villainess","Web Novel","8","7.0","01/01/20","Completed","Yuri"
"Ajin","Anime","8","7.0","01/01/20","Completed",""
"You’ve Got The Wrong House, Villain","Web Novel","8","7.5","01/01/19","Completed","Too short, felt like it ended too quickly"
"Gabriel Dropout","Anime","8","8.0","01/01/17","Completed",""
"Sakura Trick","Anime","8","7.0","01/01/17","Completed",""
"Mob Psycho 100","Anime","8","9.5","01/01/17","Completed",""
"Reincarnated as a Slime","Anime","8","9.0","01/01/17","Completed",""
"Hellsing Ultimate","Anime","8","9.0","01/01/17","Completed",""
"The Irregular at Magic High School","Anime","8","8.0","01/01/17","Completed",""
"Sword Art Online","Anime","8","8.0","01/01/17","Completed",""
"Darker than Black","Anime","8","8.0","01/01/17","Completed",""
"Garden of Sinners","Anime","8","8.0","01/01/17","Completed",""
"Guilty Crown","Anime","8","7.5","01/01/17","Completed",""
"K","Anime","8","7.0","01/01/17","Completed",""
"Blue Excorcist","Anime","8","7.0","01/01/17","Completed",""
"Tokyo Ghoul","Anime","8","7.0","01/01/17","Completed",""
"小羊驼[穿书]","Web Novel","8","9.0","08/11/25","C75",""
"Lucia","Web Novel","7.5","8.0","01/01/22","Completed","Josei/Smut"
"Nidome no Yuusha","Web Novel","7.5","6.0","01/01/19","Completed","pretty sure this got banned cause of how fucked up it was"
"I Picked Up a With From The Novel","Web Novel","7.5","9.0","01/10/25","C33",""
"和她先婚后爱了","Web Novel","7.5","9.0","18/08/25","C40","Yuri"
"My Girlfriend is a Zombie","Web Novel","7.5","6.5","01/01/21","Completed","not bad kinda mid"
"Evangelion","Anime","7.5","8.5","01/01/17","Completed",""
"My Hero Academia","Anime","7.5","8.0","01/01/17","Completed",""
"Darling in the Franxx","Anime","7","7.0","01/01/17","Completed",""
"Gakusen Toshi Asterisk","Anime","7","6.5","01/01/17","Completed",""
"Highschool DxD","Anime","7","6.0","01/01/17","Completed",""
"续命","Webnovel","6.5","8.0","01/01/25","C30",""
"Absolute Duo","Anime","6.5","6.0","01/01/18","Completed",""
"The Regressor and the Blind Saint","Web Novel","6","8.0","25/08/25","C45?",""
